﻿Nom Gare;Code Gare;Type jour;Date;Annee;Ligne;Axe;Tranche horaire;Somme de Montants
NEZEL-AULNAY;87381731;JOB;2024-01-16;2024;N;N;De 10h à 16h;38
LA-VERRIERE;87393256;JOB;2024-11-06;2024;U;U;De 16h à 20h;1052
NOGENT-L'ARTAUD-CHARLY;87116566;DIM;2023-09-17;2023;P;P;De 16h à 20h;78
LAVILLETERTRE;87381202;DIM;2024-01-21;2024;J;J6;De 16h à 20h;8
NOGENT-LE-PERREUX;87113746;JOB;2022-03-22;2022;E;E;Après 20h;278
LE-BLANC-MESNIL;87271478;SAM;2019-03-16;2019;B;B;De 10h à 16h;1702
NOISY-LE-GRAND-MONT-D'EST;87758334;JOB;2022-03-22;2022;E;E;Après 20h;66
SARTROUVILLE;87386417;SAM;2022-11-19;2022;A;A;De 10h à 16h;4365
NOTRE-DAME-DES-ANGES;87704312;DIM;2021-12-09;2021;T4;T4;Après 20h;46
SERMAISE;87545517;JOB;2025-06-02;2025;C;C;Après 20h;2
NOTRE-DAME-DES-ANGES;87704312;DIM;2021-12-09;2021;T4;T4;De 16h à 20h;126
LE-VERT-DE-MAISONS;87681247;JOB;2024-05-03;2024;D;D;De 10h à 16h;1481
ORLY-VILLE;87546200;JOB;2025-06-02;2025;C;C;Après 20h;78
SEVRAN-LIVRY;87271429;DIM;2019-03-17;2019;B;B;Avant 6h;101
ORRY-LA-VILLE-COYE;87276279;JOB;2024-05-03;2024;D;D;Avant 6h;18
LES-GRESILLONS;87272146;SAM;2025-08-02;2025;C;C;De 10h à 16h;1429
OSNY;87381145;JOB;2024-01-16;2024;J;J6;De 10h à 16h;161
SEVRES-VILLE-D'AVRAY;87382341;DIM;2024-01-21;2024;L;L2;De 10h à 16h;553
OSNY;87381145;SAM;2024-01-20;2024;J;J6;De 6h à 10h;118
LIANCOURT-SAINT-PIERRE;87381210;SAM;2024-01-20;2024;J;J6;De 6h à 10h;4
OZOIR-LA-FERRIERE;87116020;JOB;2022-03-22;2022;E;E;Avant 6h;81
SOUPPES-CHATEAU-LANDON;87684217;DIM;2024-01-21;2024;R;R;De 16h à 20h;301
PANTIN;87113209;DIM;2022-03-20;2022;E;E;De 10h à 16h;2717
SOUPPES-CHATEAU-LANDON;87684217;JOB;2024-01-16;2024;R;R;Après 20h;24
PANTIN;87113209;JOB;2022-03-22;2022;E;E;Après 20h;1207
SOUPPES-CHATEAU-LANDON;87684217;SAM;2024-01-20;2024;R;R;Après 20h;41
PARC-DES-EXPOSITIONS;87271486;JOB;2023-10-10;2023;B;B;De 10h à 16h;1960
LIVRY-SUR-SEINE;87682401;DIM;2024-01-21;2024;R;R;Après 20h;8
PARIS-GARE-DE-LYON;87686030;DIM;2024-03-03;2024;D;D;Avant 6h;319
SURESNES-MONT-VALERIEN;87382374;SAM;2024-08-06;2024;U;U;De 16h à 20h;126
PARIS-GARE-DE-LYON;87686030;DIM;2024-03-03;2024;D;D;De 16h à 20h;13232
LYCEE-HENRI-SELLIER;87988717;SAM;2021-09-18;2021;T4;T4;Avant 6h;10
PARIS-GARE-DE-LYON;87686030;SAM;2024-01-20;2024;R;R;De 16h à 20h;8543
LYCEE-HENRI-SELLIER;87988717;SAM;2021-09-18;2021;T4;T4;De 10h à 16h;334
PARIS-GARE-DU-NORD;87271031;JOB;2024-01-16;2024;K;K;De 10h à 16h;284
VAIRES-TORCY;87116293;DIM;2023-11-19;2023;P;P;Après 20h;117
PARIS-GARE-DU-NORD;87271031;SAM;2019-03-16;2019;B;B;Avant 6h;1712
MAISONS-ALFORT-ALFORTVILLE;87681155;DIM;2024-03-03;2024;D;D;De 6h à 10h;1373
PARIS-GARE-DU-NORD;87271031;SAM;2024-02-03;2024;D;D;Avant 6h;389
VAL-DE-FONTENAY;87113712;DIM;2022-03-20;2022;E;E;Avant 6h;45
PARIS-SAINT-LAZARE;87384008;DIM;2024-01-21;2024;J;J4;De 16h à 20h;5685
MAISONS-LAFFITTE;87386425;JOB;2022-11-30;2022;A;A;Après 20h;419
PARIS-SAINT-LAZARE;87384008;DIM;2024-01-21;2024;J;J6;De 10h à 16h;5684
VERNON-GIVERNY;87415604;JOB;2025-01-04;2025;J;J5;De 10h à 16h;160
PARIS-SAINT-LAZARE;87384008;JOB;2024-01-16;2024;L;L3;De 10h à 16h;4344
MANTES-LA-JOLIE;87381509;DIM;2024-01-21;2024;N;N;Après 20h;64
PARIS-SAINT-LAZARE;87384008;SAM;2024-01-20;2024;L;L2;De 10h à 16h;5723
MANTES-LA-JOLIE;87381509;JOB;2024-01-16;2024;N;N;De 10h à 16h;400
PERSAN-BEAUMONT;87276469;DIM;2024-01-21;2024;H;H;De 16h à 20h;755
VERNOU-SUR-SEINE;87682468;SAM;2024-01-20;2024;R;R;Avant 6h;1
PETIT-VAUX;87393652;JOB;2024-11-26;2024;T12;T12;Après 20h;16
MANTES-STATION;87381590;JOB;2025-01-04;2025;J;J5;Après 20h;41
PETIT-VAUX;87393652;JOB;2024-11-26;2024;T12;T12;De 16h à 20h;98
VERSAILLES-CHANTIERS;87393009;JOB;2024-04-25;2024;U;U;Après 20h;209
PIERREFITTE-STAINS;87271163;JOB;2021-11-23;2021;T11;T11;Après 20h;315
MAREUIL-SUR-OURCQ;87116665;JOB;2023-09-19;2023;P;P;Après 20h;0
PIERREFITTE-STAINS;87271163;SAM;2021-11-20;2021;T11;T11;De 16h à 20h;716
MAREUIL-SUR-OURCQ;87116665;JOB;2023-09-19;2023;P;P;De 16h à 20h;12
PIERRELAYE;87276097;DIM;2024-01-21;2024;H;H;Avant 6h;14
VERSAILLES-RIVE-DROITE;87382861;SAM;2024-01-20;2024;L;L2;De 10h à 16h;2470
PIERRELAYE;87276097;DIM;2025-09-02;2025;C;C;De 10h à 16h;208
VERT-GALANT;87271437;JOB;2023-10-10;2023;B;B;Après 20h;557
PIERRELAYE;87276097;DIM;2025-09-02;2025;C;C;De 16h à 20h;121
MAURICE-AUDIN;87704270;DIM;2021-12-09;2021;T4;T4;Avant 6h;10
PLAISIR-LES-CLAYES;87393629;JOB;2024-01-16;2024;N;N;Avant 6h;37
COTEAUX-DE-L'ORGE;87745794;JOB;2024-11-26;2024;T12;T12;De 6h à 10h;405
POISSY;87386573;SAM;2022-11-19;2022;A;A;Après 20h;569
MENNECY;87681411;DIM;2024-03-03;2024;D;D;De 6h à 10h;118
PONT-CARDINET;87381111;DIM;2024-01-21;2024;L;L3;Avant 6h;13
VILLENEUVE-SAINT-GEORGES;87681825;DIM;2024-03-03;2024;D;D;De 6h à 10h;1984
PONT-CARDINET;87381111;JOB;2024-01-16;2024;L;L2;De 16h à 20h;1727
MEUDON;87393108;JOB;2024-01-16;2024;N;N;Après 20h;129
PONT-CARDINET;87381111;JOB;2024-01-16;2024;L;L2;De 6h à 10h;2355
MEUDON;87393108;SAM;2024-01-20;2024;N;N;De 10h à 16h;590
PONT-CARDINET;87381111;JOB;2024-01-16;2024;L;L3;Après 20h;785
MEUDON-VAL-FLEURY;87393082;DIM;2025-09-02;2025;C;C;De 16h à 20h;585
PONT-CARDINET;87381111;SAM;2024-01-20;2024;L;L2;Avant 6h;11
DOMONT;87276436;JOB;2024-01-16;2024;H;H;De 16h à 20h;1055
PONT-DU-GARIGLIANO-HOPITAL-EUROPEEN-G.-POMPIDOU;87393322;JOB;2025-06-02;2025;C;C;Après 20h;404
MITRY-CLAYE;87271528;JOB;2024-01-16;2024;K;K;De 10h à 16h;85
PONT-PETIT;87276154;SAM;2024-01-20;2024;H;H;De 16h à 20h;22
VILLIERS-NEAUPHLE-PONTCHARTRAIN;87393884;JOB;2024-01-16;2024;N;N;Avant 6h;17
PONTOISE;87276139;DIM;2025-09-02;2025;C;C;De 6h à 10h;180
MONTARGIS;87684001;SAM;2024-01-20;2024;R;R;Après 20h;131
PONTOISE;87276139;SAM;2024-01-20;2024;J;J6;De 6h à 10h;452
